"Movie_Name","Country","Date","Platform","Genre","Misc.","Vote"
"Enola Holmes 2","United States ","11/30/2022 ","Netflix","Adventure","Disapperance",455
"Don't Worry Darling","United States ","09/21/2022 ",NA,"Drama",NA,405
"All Quiet on the Western Front","Germany ","10/28/2022 ","Netflix","War","World War I",392
"Black Adam","United States ","10/19/2022 ",NA,"Superhero",NA,379
"Bullet Train","United States ","07/03/2022 ",NA,"Action",NA,322
"Top Gun: Maverick","United States ","05/24/2022 ",NA,"Action",NA,302
"The Stranger","Australia ","10/06/2022 ","Netflix","Crime","Crime Drama",288
"Halloween Ends","United States ","10/15/2022 ",NA,"Horror",NA,284
"The Good Nurse","United States ","10/19/2022 ","Netflix","Thriller","Serial killer",275
"My Policeman","United States ","10/21/2022 ","Amazon","Drama","LGBT",265
"X","United States ","03/18/2022 ",NA,"Horror",NA,262
"See How They Run","United States ","09/09/2022 ",NA,"Comedy",NA,258
"Pearl","United States ","09/02/2022 ",NA,"Horror",NA,253
"Hocus Pocus 2","United States ","09/27/2022 ","Disney+","Fantasy","Witch",252
"Wendell & Wild","United States ","10/21/2022 ","Netflix","Animated","For Older Kids",250
"Smile","United States ","09/23/2022 ",NA,"Horror",NA,241
"Thor: Love and Thunder","United States ","07/06/2022 ",NA,"Superhero",NA,238
"Fall","United States ","08/12/2022 ",NA,"Thriller",NA,230
"Causeway","United States ","09/10/2022 ","Apple","Drama","Afghan War",230
"Enola Holmes","United Kingdom ","09/23/2020 ","Netflix","Adventure","Disapperance",224
"Everything Everywhere All at Once","United States ","03/25/2022 ",NA,"ScienceFiction",NA,223
"The School for Good and Evil","United States ","10/19/2022 ","Netflix","Fantasy","Witch",215
"The Batman","United States ","03/01/2022 ",NA,"Superhero",NA,212
"The Woman King","United States ","09/16/2022 ","History","Racism",NA,211
"Barbarian","United States ","09/08/2022 ",NA,"Horror",NA,200
"Spider-Man: No Way Home","United States ","12/15/2021 ",NA,"Superhero",NA,184
"Black Panther: Wakanda Forever","United States ","11/09/2022 ",NA,"Superhero",NA,181
"Ticket to Paradise","United States ","09/08/2022 ",NA,"Romance",NA,181
"The Banshees of Inisherin","United Kingdom ","10/21/2022 ",NA,"Drama",NA,177
"Triangle of Sadness","Sweden ","09/02/2022 ",NA,"Drama",NA,159
"Avatar: The Way of Water","United States ","12/14/2022 ",NA,"ScienceFiction",NA,153
"Nope","United States ","07/20/2022 ",NA,"Horror",NA,151
"Interstellar","United States ","11/05/2014 ",NA,"ScienceFiction",NA,144
"Sonic the Hedgehog 2","United States ","03/30/2022 ",NA,"Adventure",NA,139
"Avatar","United States ","12/15/2009 ",NA,"ScienceFiction",NA,137
"Bodies Bodies Bodies","United States ","08/05/2022 ",NA,"Horror",NA,130
"Midsommar","United States ","07/03/2019 ",NA,"Horror",NA,129
"Minions: The Rise of Gru","United States ","06/24/2022 ",NA,"Animated",NA,118
"All Quiet on the Western Front","United States ","04/29/1930 ",NA,"War",NA,95
"Descendant","United States ","10/21/2022 ","Netflix","Documentary","Racism",94
"Wild Is the Wind","South Africa ","10/28/2022 ","Netflix","Drama","Crime Drama",93
"Suicide Squad","United States ","08/02/2016 ",NA,"Superhero",NA,92
"Project Gemini","Russia ","01/06/2022 ",NA,"Adventure",NA,91
"Finding Nemo","United States ","05/30/2003 ",NA,"Animated",NA,91
"Harry Potter and the Prisoner of Azkaban","United Kingdom ","05/31/2004 ",NA,"Fantasy",NA,90
"The Hobbit: The Desolation of Smaug","United States ","12/13/2013 ",NA,"Fantasy",NA,89
"Inception","United States ","07/16/2010 ",NA,"Thriller",NA,88
"Orphan: First Kill","United States ","08/17/2022 ",NA,"Horror",NA,88
"Inside Man","United States ","03/24/2006 ",NA,"Thriller",NA,87
"Hocus Pocus","United States ","07/16/1993  ",NA,"Fantasy",NA,87
"The Invitation","United States ","08/24/2022 ",NA,"Horror",NA,86
"Selena Gomez: My Mind & Me","United States ","11/02/2022 ","Apple","Documentary","Musicians",85
"A Christmas Story Christmas","United States ","11/17/2022 ","HBOMax","Comedy","Christmas",85
"Fullmetal Alchemist: The Final Alchemy","Japan ","06/24/2022 ",NA,"ScienceFiction",NA,84
"Transporter 3","France ","11/26/2008 ",NA,"Action",NA,84
"Decision to Leave","South Korea ","06/29/2022 ",NA,"Crime",NA,83
"The Battle at Lake Changjin II","China ","02/01/2022 ",NA,"War",NA,82
"The Minute You Wake Up Dead","United States ","11/04/2022 ",NA,"Thriller",NA,78
"Fight Club","United States ","10/14/1999 ",NA,"Thriller",NA,78
"Pinocchio","United States ","09/07/2022 ","Disney+","FairyTale","For Boys",77
"Disenchanted","United States ","11/18/2022 ","Disney+","Fantasy","Princesses",77
"American Psycho","United States ","04/14/2000 ",NA,"Thriller",NA,76
"The Nightmare Before Christmas","United States ","10/09/1993 ",NA,"Fantasy",NA,75
"Aftersun","United States ","05/21/2022 ",NA,"Drama",NA,75
"Zootopia","United States ","02/11/2016 ",NA,"Animated",NA,75
"Beast","United States ","08/11/2022 ",NA,"Adventure",NA,75
"Little Women","United States ","12/25/2019 ",NA,"Drama",NA,75
"Secret Headquarters","United States ","08/12/2022 ",NA,"ScienceFiction",NA,74
"The Lord of the Rings: The Two Towers","United States ","12/18/2002 ",NA,"Fantasy",NA,74
"Parasite","South Korea ","05/30/2019 ",NA,"Drama",NA,74
"Halloween","United States ","10/24/1978 ",NA,"Horror",NA,74
"Harry Potter and the Chamber of Secrets","United Kingdom ","11/03/2002 ",NA,"Fantasy",NA,73
"Athena","France ","09/24/2022 ","Netflix","Drama","Society",72
"The Shining","United Kingdom ","05/22/1980 ",NA,"Horror",NA,72
"Harry Potter and the Order of the Phoenix","United Kingdom ","07/03/2007 ",NA,"Fantasy",NA,72
"Prey","United States ","07/26/2022 ","Hulu","ScienceFiction","Alien Invasion",71
"Wreck-It Ralph","United States ","11/01/2012 ",NA,"Animated",NA,71
"Beetlejuice","United States ","03/30/1988 ",NA,"Fantasy",NA,70
"NANA","Japan ","09/03/2005 ",NA,"Romance",NA,70
"Get Out","United States ","02/24/2017 ",NA,"Horror",NA,70
"Jurassic World Dominion","United States ","06/01/2022 ",NA,"ScienceFiction",NA,70
"Tangled","United States ","11/24/2010 ",NA,"Animated",NA,69
"Whiplash","United States ","10/10/2014 ",NA,"Drama",NA,69
"Star Trek Into Darkness","United States ","05/16/2013 ",NA,"ScienceFiction",NA,68
